CHAMP1,CHAMP2,CHAMP1_POSITION,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Vi,Janna,AD_CARRY,SUPPORT,2,4,6,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Vi,Ezreal,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2015,Spring,Blue
Vayne,Annie,AD_CARRY,SUPPORT,0,2,2,0.0,1.0,2015,Spring,Blue
Rumble,JarvanIV,TOP_LANER,JUNGLER,9,16,25,0.36,0.64,2015,Spring,Red
Jax,RekSai,TOP_LANER,JUNGLER,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Blue
RekSai,Lissandra,JUNGLER,MID_LANER,10,4,14,0.7142857142857143,0.2857142857142857,2015,Spring,Blue
Gnar,LeeSin,TOP_LANER,JUNGLER,4,2,6,0.6666666666666666,0.3333333333333333,2015,Spring,Red
LeeSin,Lulu,JUNGLER,MID_LANER,2,8,10,0.2,0.8,2015,Spring,Red
Kalista,Annie,AD_CARRY,SUPPORT,4,8,12,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Sion,Vi,TOP_LANER,JUNGLER,2,0,2,1.0,0.0,2015,Spring,Blue
Vi,Ahri,JUNGLER,MID_LANER,6,1,7,0.8571428571428571,0.14285714285714285,2015,Spring,Blue
Vi,Janna,JUNGLER,SUPPORT,2,2,4,0.5,0.5,2015,Spring,Blue
LeeSin,Yasuo,JUNGLER,MID_LANER,0,3,3,0.0,1.0,2015,Spring,Red
RekSai,Leblanc,JUNGLER,MID_LANER,12,8,20,0.6,0.4,2015,Spring,Blue
RekSai,Thresh,JUNGLER,SUPPORT,16,13,29,0.5517241379310345,0.4482758620689655,2015,Spring,Blue
Kalista,Thresh,AD_CARRY,SUPPORT,17,6,23,0.7391304347826086,0.2608695652173913,2015,Spring,Blue
JarvanIV,Nidalee,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2015,Spring,Red
Lissandra,Vi,TOP_LANER,JUNGLER,2,0,2,1.0,0.0,2015,Spring,Blue
Maokai,RekSai,TOP_LANER,JUNGLER,11,12,23,0.4782608695652174,0.5217391304347826,2015,Spring,Red
RekSai,Ezreal,JUNGLER,MID_LANER,1,5,6,0.16666666666666666,0.8333333333333334,2015,Spring,Red
RekSai,Leona,AD_CARRY,SUPPORT,4,7,11,0.36363636363636365,0.6363636363636364,2015,Spring,Red
Maokai,Nidalee,TOP_LANER,JUNGLER,5,3,8,0.625,0.375,2015,Spring,Red
Nidalee,Zed,JUNGLER,MID_LANER,3,0,3,1.0,0.0,2015,Spring,Red
