CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
Maokai,Gragas,2016,Spring,blue,Top,Jungle,8,4
Gragas,Nidalee,2016,Spring,blue,Top,Jungle,2,1
Lissandra,LeeSin,2016,Summer,blue,Top,Jungle,1,0
Rumble,Elise,2016,Summer,blue,Top,Jungle,4,3
Gangplank,Gragas,2016,Summer,blue,Top,Jungle,18,15
Kennen,RekSai,2016,Summer,blue,Top,Jungle,3,1
Yasuo,RekSai,2016,Summer,blue,Top,Jungle,2,1
Maokai,RekSai,2017,Spring,blue,Top,Jungle,15,5
Nautilus,LeeSin,2017,Spring,blue,Top,Jungle,30,15
Nautilus,RekSai,2017,Spring,blue,Top,Jungle,7,4
Maokai,Khazix,2017,Spring,blue,Top,Jungle,75,42
Nautilus,Khazix,2017,Spring,blue,Top,Jungle,55,35
Jayce,Olaf,2017,Spring,blue,Top,Jungle,4,1
Nautilus,Graves,2017,Spring,blue,Top,Jungle,65,36
Maokai,Graves,2017,Spring,blue,Top,Jungle,43,25
Fiora,RekSai,2017,Spring,blue,Top,Jungle,8,5
Jayce,RekSai,2017,Spring,blue,Top,Jungle,10,4
Maokai,Rengar,2017,Spring,blue,Top,Jungle,32,22
Maokai,Elise,2017,Spring,blue,Top,Jungle,13,7
Maokai,LeeSin,2017,Spring,blue,Top,Jungle,20,11
Nautilus,Rengar,2017,Spring,blue,Top,Jungle,42,22
Nautilus,Olaf,2017,Spring,blue,Top,Jungle,4,3
Poppy,LeeSin,2017,Spring,blue,Top,Jungle,14,4
Jayce,Khazix,2017,Spring,blue,Top,Jungle,8,3
Kennen,LeeSin,2017,Spring,blue,Top,Jungle,5,1
Poppy,Rengar,2017,Spring,blue,Top,Jungle,14,7
Poppy,Khazix,2017,Spring,blue,Top,Jungle,13,5
Swain,Khazix,2017,Spring,blue,Top,Jungle,3,2
Shen,Rengar,2017,Spring,blue,Top,Jungle,41,25
Trundle,Khazix,2017,Spring,blue,Top,Jungle,3,3
Shen,Khazix,2017,Spring,blue,Top,Jungle,40,22
Jayce,LeeSin,2017,Spring,blue,Top,Jungle,6,4
Rumble,RekSai,2017,Spring,blue,Top,Jungle,9,6
Shen,Olaf,2017,Spring,blue,Top,Jungle,4,1
Camille,LeeSin,2017,Spring,blue,Top,Jungle,20,10
Gangplank,Elise,2017,Spring,blue,Top,Jungle,3,1
Shen,Nidalee,2017,Spring,blue,Top,Jungle,3,0
Rumble,Ivern,2017,Spring,blue,Top,Jungle,8,5
Fiora,Khazix,2017,Spring,blue,Top,Jungle,4,2
Shen,Evelynn,2017,Spring,blue,Top,Jungle,2,2
Rumble,Khazix,2017,Spring,blue,Top,Jungle,24,15
Jayce,Ivern,2017,Spring,blue,Top,Jungle,5,4
Rumble,Graves,2017,Spring,blue,Top,Jungle,27,21
Maokai,Warwick,2017,Spring,blue,Top,Jungle,4,1
Singed,Khazix,2017,Spring,blue,Top,Jungle,7,5
Gragas,RekSai,2017,Spring,blue,Top,Jungle,3,1
Maokai,Nidalee,2017,Spring,blue,Top,Jungle,6,2
Kennen,Nidalee,2017,Spring,blue,Top,Jungle,1,0
Gangplank,Rengar,2017,Spring,blue,Top,Jungle,7,4
Shen,LeeSin,2017,Spring,blue,Top,Jungle,18,8
Poppy,Evelynn,2017,Spring,blue,Top,Jungle,1,0
Shen,Graves,2017,Spring,blue,Top,Jungle,33,18
Camille,Graves,2017,Spring,blue,Top,Jungle,16,9
Rumble,Rengar,2017,Spring,blue,Top,Jungle,41,27
Shen,Elise,2017,Spring,blue,Top,Jungle,15,7
Fiora,Rengar,2017,Spring,blue,Top,Jungle,8,6
Camille,Nidalee,2017,Spring,blue,Top,Jungle,2,2
Shen,RekSai,2017,Spring,blue,Top,Jungle,15,8
Maokai,Shaco,2017,Spring,blue,Top,Jungle,1,0
Renekton,Rengar,2017,Spring,blue,Top,Jungle,18,9
Swain,RekSai,2017,Spring,blue,Top,Jungle,1,0
Nautilus,Elise,2017,Spring,blue,Top,Jungle,18,7
Camille,Rengar,2017,Spring,blue,Top,Jungle,15,12
Ekko,LeeSin,2017,Spring,blue,Top,Jungle,4,3
Kled,Elise,2017,Spring,blue,Top,Jungle,8,7
Gragas,LeeSin,2017,Spring,blue,Top,Jungle,13,5
Gangplank,Zac,2017,Spring,blue,Top,Jungle,1,1
Renekton,Elise,2017,Spring,blue,Top,Jungle,20,9
Renekton,Graves,2017,Spring,blue,Top,Jungle,6,3
Swain,Graves,2017,Spring,blue,Top,Jungle,2,0
Rumble,Elise,2017,Spring,blue,Top,Jungle,11,8
Rumble,LeeSin,2017,Spring,blue,Top,Jungle,25,17
Poppy,Graves,2017,Spring,blue,Top,Jungle,10,6
Kled,Zac,2017,Spring,blue,Top,Jungle,1,1
Trundle,Rengar,2017,Spring,blue,Top,Jungle,3,2
Poppy,Gragas,2017,Spring,blue,Top,Jungle,4,3
Gragas,Graves,2017,Spring,blue,Top,Jungle,25,12
Camille,Elise,2017,Spring,blue,Top,Jungle,25,18
Renekton,LeeSin,2017,Spring,blue,Top,Jungle,9,7
Gragas,Rengar,2017,Spring,blue,Top,Jungle,15,8
Rumble,Olaf,2017,Spring,blue,Top,Jungle,3,2
Maokai,Gragas,2017,Spring,blue,Top,Jungle,3,0
Camille,RekSai,2017,Spring,blue,Top,Jungle,7,2
Camille,Gragas,2017,Spring,blue,Top,Jungle,7,5
Rumble,Gragas,2017,Spring,blue,Top,Jungle,4,0
Nautilus,Zac,2017,Spring,blue,Top,Jungle,1,1
Camille,Evelynn,2017,Spring,blue,Top,Jungle,1,0
JarvanIV,Elise,2017,Spring,blue,Top,Jungle,2,1
