,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
254,TahmKench,blue,Elise,2016,Graves,RekSai,1,1
255,Poppy,blue,Graves,2016,Gnar,RekSai,2,2
256,Maokai,blue,Nidalee,2016,Lissandra,Rengar,1,0
257,Gangplank,blue,Elise,2016,Fiora,Graves,1,0
258,Shen,blue,Elise,2016,Gangplank,Nidalee,1,0
259,Fiora,blue,RekSai,2016,Poppy,Rengar,1,1
260,TahmKench,blue,Nidalee,2016,Lissandra,RekSai,1,0
261,Poppy,blue,RekSai,2016,Trundle,Elise,2,1
262,Fiora,blue,RekSai,2016,Trundle,Elise,3,2
263,Graves,blue,Poppy,2016,Trundle,Nidalee,1,1
264,TahmKench,blue,Graves,2016,Ryze,Elise,1,1
265,Poppy,blue,RekSai,2016,Graves,Elise,1,1
266,Poppy,blue,Graves,2016,Lissandra,Nidalee,1,0
267,Fiora,blue,LeeSin,2016,Quinn,Elise,1,0
268,Gangplank,blue,RekSai,2016,Kennen,Elise,1,1
269,Poppy,blue,Nidalee,2016,Trundle,Graves,1,1
270,Fiora,blue,Nidalee,2016,Quinn,RekSai,1,1
271,Ryze,blue,Graves,2016,Chogath,Nidalee,1,0
272,Poppy,blue,Graves,2016,Trundle,Elise,2,1
273,Malphite,blue,RekSai,2016,Graves,Nidalee,2,1
274,Ekko,blue,RekSai,2016,Maokai,Elise,5,4
275,Poppy,blue,Nunu,2016,Gangplank,RekSai,1,1
276,Ryze,blue,Nidalee,2016,Fiora,Kindred,1,0
277,Quinn,blue,Elise,2016,Ryze,RekSai,1,0
278,Trundle,blue,Nidalee,2016,Ryze,Elise,1,1
279,Malphite,blue,Elise,2016,Quinn,RekSai,1,1
280,Malphite,blue,Kindred,2016,Fiora,Elise,2,1
281,Malphite,blue,Nunu,2016,Quinn,RekSai,1,1
282,Nautilus,blue,Graves,2016,Fiora,Kindred,1,0
283,Gangplank,blue,RekSai,2016,Quinn,Elise,1,1
284,Malphite,blue,Graves,2016,Maokai,Evelynn,1,1
285,Ryze,blue,RekSai,2016,Fiora,Graves,1,0
286,Quinn,blue,Nidalee,2016,Malphite,LeeSin,1,1
287,Nautilus,blue,Graves,2016,Malphite,Elise,1,1
288,Poppy,blue,Nidalee,2016,Graves,RekSai,1,0
289,Poppy,blue,Nidalee,2016,Trundle,Kindred,1,1
290,Malphite,blue,Gragas,2016,Ekko,Rumble,1,0
291,Poppy,blue,Gragas,2016,Gangplank,LeeSin,2,1
292,Poppy,blue,Nidalee,2016,Gangplank,Nocturne,1,1
293,Poppy,blue,Gragas,2016,Nautilus,Elise,1,0
294,Gangplank,blue,RekSai,2016,Pantheon,Gragas,1,0
295,Malphite,blue,Kindred,2016,Quinn,Gragas,1,1
296,Nautilus,blue,Graves,2016,Lulu,LeeSin,1,0
297,Poppy,blue,Elise,2016,Kayle,Gragas,1,0
298,Poppy,blue,Udyr,2016,Quinn,Gragas,1,0
299,Malphite,blue,Nidalee,2016,Nautilus,LeeSin,1,0
300,Malphite,blue,Gragas,2016,Nautilus,Elise,2,1
301,Quinn,blue,Gragas,2016,Fiora,Udyr,1,0
302,Poppy,blue,Elise,2016,Fiora,RekSai,4,3
303,Pantheon,blue,Gragas,2016,Fiora,Elise,2,2
304,Nautilus,blue,Nidalee,2016,TahmKench,Gragas,1,1
305,Lulu,blue,LeeSin,2016,Jax,Udyr,1,0
306,Nautilus,blue,LeeSin,2016,Gangplank,Elise,1,1
307,Graves,blue,Nidalee,2016,Poppy,Gragas,1,1
308,Graves,blue,Elise,2016,Trundle,Gragas,1,0
309,Gangplank,blue,RekSai,2016,Poppy,Elise,2,2
310,Yasuo,blue,Gragas,2016,Nautilus,LeeSin,1,0
311,Trundle,blue,Kindred,2016,Graves,Gragas,1,1
312,Nautilus,blue,Nidalee,2016,Poppy,Elise,3,2
313,Trundle,blue,Gragas,2016,Graves,Elise,1,1
314,Nautilus,blue,Elise,2016,Lulu,LeeSin,1,1
315,Trundle,blue,Elise,2016,Graves,Gragas,2,1
316,Rammus,blue,Gragas,2016,Graves,RekSai,1,0
317,Poppy,blue,Nidalee,2016,Graves,Gragas,1,0
318,Nautilus,blue,LeeSin,2016,Lulu,Elise,1,0
319,Graves,blue,Nidalee,2016,Trundle,Kindred,1,1
320,Yasuo,blue,Sejuani,2016,Graves,Gragas,1,1
321,Trundle,blue,Udyr,2016,Poppy,Elise,1,0
322,Poppy,blue,LeeSin,2016,Trundle,Gragas,1,1
323,Lulu,blue,Gragas,2016,Nautilus,LeeSin,1,1
324,Poppy,blue,RekSai,2016,Trundle,LeeSin,1,1
325,Malphite,blue,Elise,2016,Ekko,Gragas,1,0
326,Gnar,blue,Nidalee,2016,Poppy,Gragas,1,1
327,Poppy,blue,Gragas,2016,Trundle,Kindred,2,1
328,Nautilus,blue,Kindred,2016,Gangplank,Gragas,1,0
329,Maokai,blue,Graves,2016,Trundle,RekSai,2,1
330,Fiora,blue,RekSai,2016,Ekko,Elise,1,0
331,Trundle,blue,Nidalee,2016,Maokai,Kindred,2,2
332,Maokai,blue,Gragas,2016,Ekko,RekSai,2,1
333,Vladimir,blue,Graves,2016,Maokai,RekSai,1,1
334,Gragas,blue,RekSai,2016,Ekko,Olaf,1,0
335,Ekko,blue,Olaf,2016,Maokai,RekSai,1,0
336,Trundle,blue,Gragas,2016,Riven,RekSai,1,0
337,Maokai,blue,Graves,2016,Ekko,RekSai,5,3
338,Ekko,blue,Kindred,2016,Lissandra,Graves,1,0
339,Fizz,blue,Nidalee,2016,Ekko,RekSai,1,1
340,Trundle,blue,Elise,2016,Ekko,Kindred,4,4
341,Fizz,blue,Nidalee,2016,Ekko,Kindred,1,1
342,Fiora,blue,Gragas,2016,Maokai,RekSai,2,1
343,Maokai,blue,RekSai,2016,Vladimir,Elise,1,1
344,Maokai,blue,Khazix,2016,Trundle,RekSai,1,1
345,Swain,blue,Graves,2016,Fiora,RekSai,1,0
346,Trundle,blue,Elise,2016,Ekko,RekSai,1,1
347,Vladimir,blue,Gragas,2016,Ekko,LeeSin,1,0
348,Ekko,blue,RekSai,2016,Maokai,Graves,3,1
349,Maokai,blue,LeeSin,2016,Swain,RekSai,1,0
350,Ekko,blue,Graves,2016,Trundle,RekSai,1,1
351,Trundle,blue,Elise,2016,Riven,RekSai,1,0
352,Maokai,blue,RekSai,2016,Irelia,Olaf,1,1
353,Irelia,blue,Nidalee,2016,Maokai,Graves,1,1
354,Maokai,blue,Gragas,2016,Irelia,RekSai,1,0
355,Shen,blue,RekSai,2016,Irelia,Elise,1,0
356,Irelia,blue,Graves,2016,JarvanIV,RekSai,1,0
357,Jax,blue,Elise,2016,Fizz,Kindred,1,0
358,Irelia,blue,RekSai,2016,Swain,Graves,1,1
359,Jax,blue,Kindred,2016,Maokai,Graves,1,1
360,Maokai,blue,Kindred,2016,Fizz,Elise,2,1
361,Maokai,blue,Nidalee,2016,Trundle,RekSai,1,0
362,Maokai,blue,Kindred,2016,Irelia,Elise,1,0
363,Irelia,blue,RekSai,2016,Maokai,Olaf,1,0
364,Trundle,blue,RekSai,2016,Irelia,Graves,1,1
365,Irelia,blue,RekSai,2016,Maokai,Graves,1,1
366,Swain,blue,RekSai,2016,Irelia,Olaf,1,1
367,Fiora,blue,Elise,2016,Trundle,Rengar,1,0
368,Irelia,blue,Elise,2016,Jax,Gragas,2,2
369,Maokai,blue,Gragas,2016,Fizz,RekSai,1,1
370,Maokai,blue,Graves,2016,Illaoi,Nidalee,1,0
371,Swain,blue,RekSai,2016,Fizz,Kindred,1,1
372,Trundle,blue,Nidalee,2016,Fizz,RekSai,1,0
373,Renekton,blue,Nidalee,2016,Irelia,Kindred,1,1
374,Shen,blue,Kindred,2016,Irelia,Olaf,1,0
375,Swain,blue,RekSai,2016,Trundle,Gragas,1,0
376,Fizz,blue,RekSai,2016,Trundle,Gragas,1,1
377,Shen,blue,RekSai,2016,Irelia,Nidalee,2,0
378,Irelia,blue,Nidalee,2016,Trundle,Elise,2,0
379,Trundle,blue,RekSai,2016,Swain,Gragas,1,0
380,Trundle,blue,Olaf,2016,Shen,Hecarim,1,1
