,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
75,Rengar,Xerath,2015,Spring,blue,Jungle,Middle,2,2
76,JarvanIV,Ahri,2015,Spring,blue,Jungle,Middle,24,15
77,Elise,Zed,2015,Spring,blue,Jungle,Middle,5,1
78,Nidalee,Kassadin,2015,Spring,blue,Jungle,Middle,4,2
79,Rengar,Kassadin,2015,Spring,blue,Jungle,Middle,3,2
80,Rengar,Lissandra,2015,Spring,blue,Jungle,Middle,2,0
81,LeeSin,Azir,2015,Spring,blue,Jungle,Middle,1,0
82,JarvanIV,Jayce,2015,Spring,blue,Jungle,Middle,5,1
83,Nidalee,Cassiopeia,2015,Spring,blue,Jungle,Middle,4,3
84,Nidalee,Ahri,2015,Spring,blue,Jungle,Middle,3,2
85,RekSai,Ezreal,2015,Spring,blue,Jungle,Middle,4,4
86,Rengar,Zed,2015,Spring,blue,Jungle,Middle,1,1
87,Nidalee,Lulu,2015,Spring,blue,Jungle,Middle,2,2
88,Nidalee,Leblanc,2015,Spring,blue,Jungle,Middle,4,2
89,Hecarim,Diana,2015,Spring,blue,Jungle,Middle,1,0
90,RekSai,Viktor,2015,Spring,blue,Jungle,Middle,6,2
91,Nunu,Cassiopeia,2015,Spring,blue,Jungle,Middle,3,3
92,Sejuani,Kassadin,2015,Spring,blue,Jungle,Middle,4,2
93,Sejuani,Ahri,2015,Spring,blue,Jungle,Middle,5,4
94,Nunu,Ahri,2015,Spring,blue,Jungle,Middle,3,0
95,RekSai,TwistedFate,2015,Spring,blue,Jungle,Middle,4,2
96,Nidalee,Chogath,2015,Spring,blue,Jungle,Middle,2,1
97,Sejuani,Cassiopeia,2015,Spring,blue,Jungle,Middle,5,2
98,RekSai,Chogath,2015,Spring,blue,Jungle,Middle,5,2
99,Udyr,Orianna,2015,Spring,blue,Jungle,Middle,2,2
100,Udyr,KogMaw,2015,Spring,blue,Jungle,Middle,1,1
101,Shaco,Syndra,2015,Spring,blue,Jungle,Middle,1,1
102,Olaf,Chogath,2015,Spring,blue,Jungle,Middle,1,0
103,Gragas,Cassiopeia,2015,Spring,blue,Jungle,Middle,3,2
104,Nunu,Leblanc,2015,Spring,blue,Jungle,Middle,2,0
105,Gragas,Diana,2015,Spring,blue,Jungle,Middle,1,0
106,LeeSin,Zed,2015,Spring,blue,Jungle,Middle,4,2
107,LeeSin,Orianna,2015,Spring,blue,Jungle,Middle,4,2
108,Gragas,Kassadin,2015,Spring,blue,Jungle,Middle,1,1
109,Gragas,Ziggs,2015,Spring,blue,Jungle,Middle,2,1
110,Sejuani,Orianna,2015,Spring,blue,Jungle,Middle,1,1
111,Nunu,Xerath,2015,Spring,blue,Jungle,Middle,1,0
112,Nunu,Ryze,2015,Spring,blue,Jungle,Middle,1,0
113,Sion,Azir,2015,Spring,blue,Jungle,Middle,1,0
114,Khazix,Ahri,2015,Spring,blue,Jungle,Middle,4,1
