,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
149,Tank/Mage/,blue,Assassin/Fighter/,2015,Tank/Fighter/,Fighter/Assassin/,2,2
150,Tank/Mage/,blue,Fighter/Mage/,2015,Tank/Fighter/,Fighter/,1,0
151,Mage/Fighter/,blue,Fighter/Assassin/,2015,Tank/Fighter/,Fighter/Mage/,1,1
152,Assassin/Fighter/,blue,Tank/Fighter/,2015,Tank/Mage/,Assassin/Mage/,1,1
153,Fighter/Mage/,blue,Fighter/Tank/,2015,Tank/Mage/,Assassin/Mage/,1,1
154,Tank/Mage/,blue,Assassin/Fighter/,2015,Tank/,Fighter/Mage/,2,1
155,Assassin/Fighter/,blue,Fighter/Mage/,2015,Fighter/Tank/,Fighter/,1,1
156,Tank/,blue,Fighter/Assassin/,2015,Fighter/Tank/,Fighter/,1,0
157,Fighter/Mage/,blue,Assassin/Mage/,2015,Tank/Mage/,Fighter/Mage/,2,1
158,Tank/Mage/,blue,Fighter/,2015,Assassin/Fighter/,Fighter/Mage/,1,1
159,Tank/Mage/,blue,Assassin/Fighter/,2015,Mage/Marksman/,Fighter/Mage/,1,0
160,Fighter/Mage/,blue,Fighter/,2015,Tank/Mage/,Fighter/Mage/,5,2
161,Mage/Tank/,blue,Mage/Fighter/,2015,Tank/,Fighter/Assassin/,1,0
162,Assassin/Fighter/,blue,Fighter/Mage/,2015,Tank/Mage/,Assassin/Fighter/,3,2
163,Tank/,blue,Fighter/,2015,Fighter/Tank/,Fighter/Mage/,2,1
164,Tank/Mage/,blue,Assassin/Fighter/,2015,Tank/,Assassin/Mage/,1,0
165,Tank/Fighter/,blue,Assassin/Fighter/,2015,Tank/Mage/,Fighter/Mage/,2,0
166,Assassin/Fighter/,blue,Tank/Fighter/,2015,Tank/Mage/,Tank/Fighter/,1,1
167,Fighter/Assassin/,blue,Assassin/Fighter/,2015,Tank/Fighter/,Fighter/,1,0
168,Fighter/Tank/,blue,Fighter/Mage/,2015,Fighter/Mage/,Fighter/,6,4
169,Tank/,blue,Fighter/Mage/,2015,Fighter/Tank/,Fighter/Tank/,1,0
170,Fighter/Mage/,blue,Fighter/Mage/,2015,Assassin/Mage/,Mage/Fighter/,1,0
171,Tank/Mage/,blue,Fighter/Mage/,2015,Fighter/Tank/,Fighter/Assassin/,1,1
172,Tank/,blue,Fighter/Mage/,2015,Tank/Mage/,Fighter/Tank/,1,0
173,Fighter/Tank/,blue,Assassin/Fighter/,2015,Tank/Mage/,Assassin/Fighter/,1,1
174,Tank/Mage/,blue,Assassin/Fighter/,2015,Assassin/Fighter/,Tank/Fighter/,1,1
175,Mage/Tank/,blue,Fighter/Assassin/,2015,Fighter/Mage/,Tank/Fighter/,1,0
176,Support/Mage/,blue,Tank/Fighter/,2015,Mage/Tank/,Tank/Fighter/,1,1
177,Fighter/Mage/,blue,Tank/Fighter/,2015,Fighter/Tank/,Tank/Fighter/,5,2
178,Fighter/Tank/,blue,Fighter/Assassin/,2015,Tank/Mage/,Fighter/,2,2
179,Fighter/Mage/,blue,Fighter/,2015,Mage/Support/,Fighter/Assassin/,2,2
180,Tank/Mage/,blue,Fighter/,2015,Mage/Tank/,Fighter/Assassin/,1,0
181,Fighter/Tank/,blue,Fighter/Mage/,2015,Tank/Fighter/,Tank/Fighter/,2,1
182,Fighter/Tank/,blue,Tank/Fighter/,2015,Tank/Mage/,Tank/Fighter/,3,2
183,Fighter/Tank/,blue,Tank/Fighter/,2015,Tank/Fighter/,Tank/Fighter/,1,1
184,Support/Mage/,blue,Tank/Fighter/,2015,Tank/Mage/,Fighter/Mage/,2,1
185,Fighter/Tank/,blue,Fighter/Mage/,2015,Tank/Mage/,Tank/Fighter/,6,5
186,Support/Mage/,blue,Assassin/Fighter/,2015,Fighter/Tank/,Tank/Fighter/,2,1
187,Mage/Marksman/,blue,Tank/Fighter/,2015,Support/Mage/,Fighter/Mage/,1,0
188,Fighter/Tank/,blue,Fighter/Assassin/,2015,Tank/Mage/,Fighter/Mage/,1,0
189,Fighter/Tank/,blue,Tank/Fighter/,2015,Tank/Fighter/,Fighter/Mage/,2,1
190,Fighter/Tank/,blue,Fighter/Mage/,2015,Mage/Tank/,Fighter/,2,1
191,Fighter/Mage/,blue,Tank/Fighter/,2015,Mage/Support/,Fighter/,1,1
192,Fighter/Tank/,blue,Fighter/,2015,Fighter/Tank/,Fighter/Mage/,13,8
193,Tank/Fighter/,blue,Fighter/Mage/,2015,Fighter/Tank/,Tank/Fighter/,2,1
194,Fighter/Tank/,blue,Tank/Fighter/,2015,Support/Mage/,Tank/Fighter/,1,0
