,TAG1,TAG2,Total_Played,Wins
770,Ornn,Sejuani,15,11
1795,Ivern,Thresh,17,11
360,Maokai,Olaf,26,11
1813,Zac,Taric,15,11
345,Camille,Zac,17,11
316,Gnar,Maokai,21,11
320,Chogath,Maokai,16,11
1866,Hecarim,Alistar,18,11
1569,JarvanIV,Ryze,27,11
222,Gnar,Graves,27,11
2231,Ashe,Morgana,22,11
1129,Ivern,Orianna,23,11
982,Nidalee,Gangplank,14,11
1043,Olaf,Malzahar,24,11
1055,Elise,Anivia,22,11
104,Sion,Gragas,17,11
1067,Graves,TwistedFate,20,11
2270,KogMaw,Trundle,16,11
1106,Rengar,Viktor,24,11
1791,LeeSin,Blitzcrank,21,11
1352,Kindred,Zilean,16,11
1237,Khazix,Azir,20,11
1189,Rengar,Kassadin,14,10
2196,Urgot,Nautilus,20,10
1868,Elise,Taric,25,10
994,Gragas,Anivia,16,10
2320,Lucian,Malzahar,11,10
2307,Jhin,Janna,15,10
1820,Maokai,Janna,16,10
1344,Elise,Fizz,13,10
2213,Vayne,Morgana,11,10
948,LeeSin,Ekko,28,10
2400,Jhin,Nautilus,14,10
903,LeeSin,TwistedFate,23,10
2451,Kalista,TahmKench,26,10
1747,Elise,MissFortune,17,10
2447,Tristana,Trundle,17,10
863,Gragas,KogMaw,12,10
1553,Sejuani,Ryze,22,10
1734,Nidalee,Taric,17,10
2420,Caitlyn,Trundle,15,10
1230,Elise,Gangplank,23,10
1635,Nidalee,Annie,17,10
1153,Maokai,Syndra,18,10
2181,Vayne,Thresh,23,10
1097,Graves,Zed,17,10
1633,JarvanIV,Leona,30,10
406,Kennen,Graves,19,10
202,Trundle,Hecarim,15,10
57,Hecarim,Nunu,18,10
85,Ryze,LeeSin,18,10
528,Ryze,Elise,21,10
136,TahmKench,Graves,15,10
525,Graves,Gragas,19,10
267,Renekton,Graves,28,10
389,Fizz,LeeSin,20,10
212,Gnar,Olaf,20,10
207,Ryze,Gragas,17,9
830,RekSai,Xerath,20,9
1023,Hecarim,Viktor,25,9
1204,Gragas,Fizz,15,9
455,Camille,Ivern,10,9
1642,Nidalee,Nautilus,20,9
1767,Ivern,MissFortune,16,9
248,Fiora,Khazix,19,9
1778,Graves,Blitzcrank,12,9
1040,Nidalee,Taliyah,16,9
603,Darius,Elise,14,9
1015,Kindred,Lissandra,29,9
721,Gangplank,JarvanIV,17,9
469,Chogath,Khazix,16,9
2383,Lucian,Poppy,18,9
1954,Khazix,Rakan,16,9
1614,Vi,Morgana,13,9
1946,Khazix,Alistar,26,9
2397,Lucian,Taric,15,9
234,Jayce,RekSai,29,9
387,Vladimir,RekSai,16,9
2171,Kalista,Nautilus,21,9
1011,Olaf,Ryze,20,9
396,Gangplank,LeeSin,19,9
395,Olaf,RekSai,19,9
2234,Jhin,Morgana,25,9
2156,Jinx,Braum,20,9
1686,Ekko,Braum,18,9
170,Nautilus,Kindred,31,9
930,Evelynn,Azir,21,9
286,Kled,Khazix,20,9
1748,Khazix,Morgana,15,9
145,Quinn,Elise,13,9
142,Malphite,RekSai,21,9
1721,Olaf,Bard,18,9
889,Ekko,Azir,15,9
487,Sion,JarvanIV,17,9
125,Lulu,Elise,19,9
2204,Ashe,Soraka,15,9
1009,Olaf,Vladimir,12,9
1612,Vi,Annie,12,9
458,Rumble,Zac,18,9
2189,Sivir,Shen,13,9
1367,Elise,Velkoz,12,9
1816,Maokai,Alistar,25,9
1109,Zac,Cassiopeia,15,9
1121,Olaf,Taliyah,15,9
1557,Sejuani,Malzahar,16,9
1842,Olaf,Janna,15,9
541,Gangplank,Khazix,16,9
258,Fiora,Rengar,11,8
1653,LeeSin,Nautilus,25,8
2286,Varus,Morgana,16,8
1008,Olaf,Azir,13,8
1276,Zac,Lucian,12,8
504,Riven,RekSai,13,8
1377,RekSai,Galio,23,8
944,Gragas,Diana,12,8
94,Olaf,Gragas,14,8
619,Poppy,Olaf,15,8
1219,Gragas,Ziggs,16,8
2318,Kalista,Lulu,14,8
1652,Sejuani,Nautilus,24,8
2321,Ezreal,Malzahar,24,8
452,Fizz,Graves,16,8
848,Sejuani,Kennen,10,8
70,Gnar,Nunu,17,8
2469,Xayah,Taric,15,8
2279,Ezreal,Taric,16,8
2265,Twitch,Karma,17,8
929,Nidalee,Kassadin,13,8
347,Jax,Sejuani,13,8
520,Lissandra,Graves,13,8
959,RekSai,Lux,17,8
655,Jayce,Sejuani,11,8
1370,Rengar,Zilean,15,8
1848,Olaf,Alistar,12,8
